"id;""timestamp"";""nsfrac"";""the_geom"";""longitude"";""latitude"";""height"";""amplitude"";""lsum"";""type"";""stationmax"";""station1"";""station2"";""station3"";""station4"";""station5"";""station6"";""station7"";""station8"";""qres"";""flash_id"";""cell_id"""
"1149699;""2018-07-20 18:05:56.550283+00"";""4"";""0101000020E6100000000000606BB65440000000C0841C3640"";""82.8503"";""22.1114"";""0"";""-50.1"";""3.26"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663573"";"""""
"1149702;""2018-07-20 18:05:56.846826+00"";""0"";""0101000020E610000000000060E5B4544000000080831F3640"";""82.8265"";""22.1231"";""0"";""-53.5"";""2.965"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663573"";"""""
"1149704;""2018-07-20 18:06:12.084578+00"";""4"";""0101000020E61000000000000042B75440000000404E413640"";""82.8634"";""22.2551"";""0"";""-58.1"";""3.198"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663574"";"""""
"1149705;""2018-07-20 18:06:13.281398+00"";""7"";""0101000020E61000000000004089B55440000000604B383640"";""82.8365"";""22.2199"";""0"";""-28.6"";""3.763"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663575"";"""""
"1149706;""2018-07-20 18:06:14.104534+00"";""6"";""0101000020E610000000000040EFB85440000000604D333740"";""82.8896"";""23.2004"";""0"";""-39"";""2.016"";""1"";""5"";""4"";""6"";""3"";""8"";""9"";""0"";""0"";""0"";""0"";""663576"";"""""
"1149707;""2018-07-20 18:06:14.393546+00"";""4"";""0101000020E61000000000006027FC54400000000054D33740"";""83.9399"";""23.8255"";""0"";""21.7"";""1.866"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663577"";"""""
"1149709;""2018-07-20 18:06:15.733486+00"";""9"";""0101000020E610000000000060AAB85440000000200D203640"";""82.8854"";""22.1252"";""0"";""-37.7"";""3.41"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663578"";"""""
"1149711;""2018-07-20 18:06:15.881657+00"";""4"";""0101000020E610000000000060A116554000000020EBC23740"";""84.3536"";""23.7614"";""0"";""-30.6"";""2.374"";""1"";""5"";""3"";""4"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663579"";"""""
"1149708;""2018-07-20 18:06:15.543662+00"";""3"";""0101000020E61000000000000029B45440000000A0A2333640"";""82.815"";""22.2017"";""0"";""-21.1"";""2.01"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663580"";"""""
"1149710;""2018-07-20 18:06:15.859542+00"";""1"";""0101000020E610000000000020D0B854400000004011263640"";""82.8877"";""22.1487"";""0"";""-27.3"";""4.73"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663580"";"""""
"1149712;""2018-07-20 18:06:16.209166+00"";""4"";""0101000020E6100000000000A0F1B65440000000004B393640"";""82.8585"";""22.2238"";""0"";""-18.2"";""0.855"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663580"";"""""
"1149713;""2018-07-20 18:06:16.285815+00"";""2"";""0101000020E6100000000000C07BB65440000000200F3B3640"";""82.8513"";""22.2307"";""0"";""-65.4"";""2.985"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663580"";"""""
"1149714;""2018-07-20 18:06:16.54143+00"";""3"";""0101000020E61000000000002087165540000000E004C43740"";""84.352"";""23.7657"";""0"";""-20.5"";""2.339"";""1"";""5"";""3"";""4"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663581"";"""""
"1149716;""2018-07-20 18:06:17.090523+00"";""3"";""0101000020E610000000000000BAB6544000000040C8173640"";""82.8551"";""22.0929"";""0"";""-78.1"";""3.041"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663583"";"""""
"1149717;""2018-07-20 18:06:17.587251+00"";""4"";""0101000020E6100000000000C0CCB45440000000008A1F3640"";""82.825"";""22.1232"";""0"";""-67.1"";""3.358"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663583"";"""""
"1149718;""2018-07-20 18:06:18.242923+00"";""9"";""0101000020E610000000000080B9BB544000000060F0353640"";""82.9332"";""22.2107"";""0"";""-59.1"";""3.061"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663584"";"""""
"1149719;""2018-07-20 18:06:18.451074+00"";""4"";""0101000020E610000000000000CE015540000000E0340F3740"";""84.0282"";""23.0594"";""0"";""-21.3"";""2.362"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663585"";"""""
"1149720;""2018-07-20 18:06:18.668088+00"";""2"";""0101000020E61000000000006054FE54400000002048103740"";""83.9739"";""23.0636"";""0"";""-18.6"";""1.458"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663585"";"""""
"1149721;""2018-07-20 18:06:18.967587+00"";""5"";""0101000020E61000000000004040175540000000A011C53740"";""84.3633"";""23.7698"";""0"";""17.3"";""0.89"";""1"";""5"";""3"";""4"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663586"";"""""
"1149722;""2018-07-20 18:06:19.361845+00"";""2"";""0101000020E61000000000008097FE54400000008041C03A40"";""83.978"";""26.751"";""0"";""7.4"";""0.318"";""1"";""5"";""4"";""6"";""8"";""3"";""9"";""0"";""0"";""0"";""0"";""663587"";"""""
"1149723;""2018-07-20 18:06:19.389704+00"";""6"";""0101000020E6100000000000E06AFF5440000000E06FEF3740"";""83.9909"";""23.9353"";""0"";""25.8"";""2.302"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663588"";"""""
"1149724;""2018-07-20 18:06:20.129014+00"";""2"";""0101000020E6100000000000802DBD5440000000C07D1D3640"";""82.9559"";""22.1152"";""0"";""-27.5"";""2.831"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663589"";"""""
"1149725;""2018-07-20 18:06:20.239142+00"";""7"";""0101000020E61000000000000081B55440000000003B303640"";""82.836"";""22.1884"";""0"";""-57.8"";""3.057"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663590"";"""""
"1149729;""2018-07-20 18:06:22.636655+00"";""7"";""0101000020E6100000000000E061B5544000000000C3143640"";""82.8341"";""22.0811"";""0"";""-62.1"";""3.086"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663591"";"""""
"1149727;""2018-07-20 18:06:22.428196+00"";""1"";""0101000020E610000000000060ECBB5440000000A0554F3640"";""82.9363"";""22.3099"";""0"";""24.3"";""3.123"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663592"";"""""
"1149728;""2018-07-20 18:06:22.525364+00"";""9"";""0101000020E610000000000080F2B8544000000060003F3640"";""82.8898"";""22.2461"";""0"";""-19.2"";""2.58"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663592"";"""""
"1149730;""2018-07-20 18:06:22.713106+00"";""8"";""0101000020E6100000000000201DB9544000000060A3413640"";""82.8924"";""22.2564"";""0"";""-41.9"";""3.138"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663592"";"""""
"1149731;""2018-07-20 18:06:23.533381+00"";""4"";""0101000020E6100000000000C0E1B5544000000000E73C3640"";""82.8419"";""22.2379"";""0"";""-29.4"";""1.728"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663593"";"""""
"1149732;""2018-07-20 18:06:23.628005+00"";""2"";""0101000020E610000000000040BFB554400000002006413640"";""82.8398"";""22.254"";""0"";""-56.1"";""3.127"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663593"";"""""
"1149733;""2018-07-20 18:06:24.082694+00"";""9"";""0101000020E6100000000000C0D5BA54400000004055203640"";""82.9193"";""22.1263"";""0"";""-21.2"";""3.774"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663594"";"""""
"1149734;""2018-07-20 18:06:24.567313+00"";""2"";""0101000020E6100000000000404EB5544000000020C01B3640"";""82.8329"";""22.1084"";""0"";""-61.3"";""3.208"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663594"";"""""
"1149735;""2018-07-20 18:06:26.170146+00"";""1"";""0101000020E610000000000060FEB3544000000080C9343640"";""82.8124"";""22.2062"";""0"";""-62"";""2.904"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663595"";"""""
